SubCircuit,Part,Description,Package,Mouser Ref,Manufacturer,Mfr Ref,Qty,PU (1),PU (Reel),Reel Qty,Remarks
Led,LEDENGIN1,LZC,MPCB,897-LZC83MC00,LedEngin,LZC-83MC00,1,$37.70,33.410,100,
Led Driver,U1,LM317 Power regulator,SOT-223,595-LM317DCYR,Texas Instruments,LM317DCYR,1,$0.62,0.247,2500,
Led Driver,J1,Power Jack - 2.5mm,,806-KLDHCX-0202-BC,KYCON,        KLDHCX-0202-BC,1,$0.89,0.620,1000,
,J1',Power Jack - 2.5mm,,1710-0725,Kobiconn,1710-0725,1,$1.28,0.550,5000,
Led Driver,R1,240 Ohm,1206,660-RK73B2BTTD241J,KOA Speer,RK73B2BTTD241J,1,$0.08,0.009,5000,
Led Driver,R2,390 Ohm,1206,660-RK73B2BTTDD391J,KOA Speer,RK73B2BTTDD391J,1,$0.08,0.008,10000,
Led Driver,C1,0.1uF >50V,1206,81-GRM319F51H104ZA,Murata,GRM319F51H104ZA01D,1,$0.09,0.026,4000,
Led Driver,JP1,"0.1"" pitch 2x5 connector plastic shoulder",,737-BHR-10-VUA,ADAM TECH,BHR-10-VUA,1,$0.28,0.180,1000,
Led Driver,D1,Rectifier Diode 800V 8A,SMC,621-S8KC-13,Diodes Inc,S8KC-13,1,$0.46,0.196,3000,
Led Driver,LED1,Green Led,1206,720-LGN971-KN-1,OSRAM Opto Semicond.,LG N971-KN-1,1,$0.10,0.052,4000,
Led Driver,LED2,Red Led,1206,720-LHN974-KN-1,OSRAM Opto Semicond.,LH N974-KN-1,1,$0.12,0.052,12000,
Led Driver,"R9,R10",220 Ohm,1206,660-RK73B2BTTDD221J,KOA Speer,RK73B2BTTDD221J,2,$0.08,0.008,10000,
Led Driver - Chan,"IC1,IC3,IC5",LT3518,TSSOP,Buy direct from LINEAR TECH,LINEAR TECHNOLOGY,LT3518,3,$4.43,3.760,100,
Led Driver - Chan,"Q1,Q2,Q3",P-MOSFET,SOIC-8 Narrow,512-FDS4685,Fairchild Semi,FDS4685,3,$0.82,0.345,2500,
Led Driver - Chan,"D2,D3,D4",Schottky 3A 60V,SMC,863-MBRS360T3G,ON Semiconductor,MBRS360T3G,3,$0.62,0.201,2500,
Led Driver - Chan,"L1,L2,L3",15 uH Power Inductance (max sat 2A),,70-IHLP2020CZER150M0,Vishay/Dale,IHLP2020CZER150M01,3,$2.29,1.110,2000,
Led Driver - Chan,"R3,R5,R7",Current Sense resistor 143 mOhm 1206,1206,660-SR732BTTER143F,KOA Speer,SR732BTTER143F,3,$0.43,0.250,4000,
Led Driver - Chan,"R4,R6,R8",16.9kOhm,1206,660-RK73H2BTTD1692F,KOA Speer,RK73H2BTTD1692F,3,$0.08,0.015,5000,
Led Driver - Chan,"C2,C3,C7,C8,C11,C12",0.1uF 10V,1206,810-CGA5L4X7T2W104KS,TDK,CGA5L4X7T2W104K/SOFT,6,$0.27,0.149,2000,Replaced by: 77-VJ1206Y104KXQCBC
Led Driver - Chan,"C4,C6,C10",10uF 50V X5R,1206,810-CGA5L3X5R1H106K,TDK,CGA5L3X5R1H106K,3,$0.57,0.311,2000,
Led Driver - Chan,"C5,C9,C13",2.2uF,1206,"81-GRM31MF51H225ZA1L

",Murata,GRM31MF51H225ZA01L,3,$0.21,0.070,3000,
Led Driver - Chan,"X1,X2,X3",Phoenix Connector 3.5mm 2 contacts,,651-1984617,Phoenix Contact,1984617,3,$0.38,0.248,500,
Led Driver,"IC2,IC4,IC6",TC1047A,SOT-23B-3,579-TC1047AVNBTR,Microchip Technology,TC1047AVNBTR,3,$0.66,0.470,3000,
,,,,,,Total Led Driver,,74.95,,,
Motherboard,U1,MC34063SMD,SO08,863-MC34063ADG,ON Semiconductors,MC34063ADG,1,$0.62,0.165,2500,Tube of 98unit ??? - 0.165/2500 @STMicro
Motherboard,U2,Atmega32U4-XUAU,,556-ATMEGA32U4-AU,Atmel,ATMEGA32U4-AU,1,$4.25,3.590,800,
Motherboard,U3,RN171,,765-RN-171,Roving Networks,RN-171,1,$29.00,27.190,100,
Motherboard,U4,Bluegiga BLE112,,603-BLE112-A,Bluegiga Technologies,BLE112-A,1,$17.50,15.900,100,
Motherboard,USB,Micro USB Connector,,798-ZX62-B-5PA11,Hirose Connector,ZX62-B-5PA(11),1,$1.10,0.373,3500,
Motherboard,J1,Power Jack - 2.5mm,,806-KLDHCX-0202-BC,KYCON,        KLDHCX-0202-BC,1,$0.89,0.620,1000,
Motherboard,J1',Power Jack - 2.5mm,,1710-0725,Kobiconn,1710-0725,1,$1.28,0.550,5000,
Motherboard,J2,2x3 Header (ISP),,649-68602-406HLF,FCI,68602-406HLF,1,$0.12,0.103,400,
Motherboard,JP1,Two-pin header,,649-68602-402HLF,FCI,68602-402HLF,1,$0.10,0.064,800,
Motherboard,JP2,8 pin female header,,649-68685-308LF,FCI,68685-308LF,1,$2.13,1.440,700,
Motherboard,JP3,6 pin female header,,649-68685-306LF,FCI,68685-306LF,1,$2.01,1.320,950,
Motherboard,"JP4,JP5","0.1"" pitch 2x5 connector plastic shoulder",,737-BHR-10-VUA,ADAM TECH,BHR-10-VUA,2,$0.28,0.180,1000,
Motherboard,"S1,S2",SMD Switch,,653-B3FS-1010,OMRON Electronics,B3FS-1010,2,$0.64,0.466,100,
Motherboard,Y1,Quartz 8Mhz,HC49/US,774-ATS080,CTS Electronic Comp.,ATS080,1,$0.35,0.190,1000,
Motherboard,LED1,LED 0805 RED,0805,720-LSR976-NR-1,OSRAM Opto Semicond.,LS R976-NR-1,1,$0.10,0.041,16000,
Motherboard,"LED2,LED5,LED6",LED 0805 YELLOW,0805,720-LYR971-HL-1,OSRAM Opto Semicond.,LY R971-HL-1,3,$0.10,0.039,16000,
Motherboard,"LED3,LED4",LED 0805 GREEN,0805,720-LGR971-KN-1,OSRAM Opto Semicond.,LG R971-KN-1,2,$0.10,0.039,16000,
Motherboard,D1,Schottky B220A,SMA,621-B220A-F,Diodes Inc,B220A-13-F,1,$0.58,0.232,5000,
Motherboard,D2,Input protection diode (schottky 1v drop),SMA,511-STPS2L60A,STMicroelectronics,STPS2L60A,1,$0.24,0.145,5000,
Motherboard,L1,33uH / 1.4 A (maths said: 36 uH / 800mA),6x6x4.5,652-SRN6045-330M,Bourns,SRN6045-330M,1,$0.33,0.180,1000,
Motherboard,C6,100 uF / 30V,6.3 x 7.7 (D8),667-EEE-1VA101XP,Panasonic Electronic C.,EEE-1VA101XP,1,$0.28,0.092,1000,
Motherboard,"C3,C13",1uF (UCAP/AVCC),0805,81-GRM219R61A105KA1D,Murata,GRM219R61A105KA01D,2,$0.09,0.022,3000,
Motherboard,"C1,C2",22pF (quartz),0805,603-CC805GRNPO9BN220,Yageo,CC0805GRNPO9BN220,2,$0.09,0.012,4000,
Motherboard,C5,82pf - Should be 85pF (timing MC34063),0805,80-C0805C820J5G,Kemet,C0805C820J5GACTU,1,$0.10,0.017,4000,
Motherboard,"C4,C7",10uF,0805,603-CC805KKX5R6BB106,Yageo,CC0805KKX5R6BB106,2,$0.09,0.032,3000,
Motherboard,"C8,C9,C10,C11,C12",100nF,0805,80-C0805C104K3R7210,Kemet,C0805C104K3RAC7210,5,$0.07,0.008,10000,
Motherboard,R13,Current sense 0.240 Ohm,1206,652-CRL1206FWR240ELF,Bourns,CRL1206-FW-R240ELF,1,$0.30,0.080,5000,
Motherboard,"R8,R14",3.2k,0805,652-CR0805-LF-3161E,Bourns,CR0805-FX-3161ELF,2,$0.05,0.009,5000,
Motherboard,"R7,R15",2k,0805,652-CR0805JW-202ELF,Bourns,CR0805-JW-202ELF,2,$0.05,0.011,5000,
Motherboard,"R1,R9",10k,0805,603-RC0805FR-1310KL,Yageo,RC0805FR-1310KL,2,$0.06,0.002,20000,
Motherboard,"R5,R6",22 ohms (usb line),0805,652-CR0805-FX22R0GLF,Bourns,CR0805-FX-22R0GLF,2,$0.05,0.014,5000,
Motherboard,R16,15.8k,0805,603-RC0805FR-0715K8L,Yageo,RC0805FR-0715K8L,1,$0.06,0.002,5000,
Motherboard,"R2,R3,R4,R10,R11,R12",220 ohms,0805,652-CR0805-FX2200GLF,Bourns,CR0805-FX-2200GLF,6,$0.05,0.015,10000,
Interco,Cable,Ribbon 2x5 cable,,517-1M-1010-010-6,3M,1M-1010-010-3365-006.0-00-AB-00-0,1,$5.35,3.570,50,
,,,,,,Total Motherboard,,70.64,,,
Total Price,,,,,,,,145.59,114.2854,,